"LOCATION","Country","VAR","Variable","EDI","Edition","Frequency","Time","Unit","Value"
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",12612734607
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",9221679573
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",10092162120
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",5236314461
"IRL","Ireland",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",4442843847
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",4552883319
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",4906704516
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",7622148511
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",5119263654
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",8593890037
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",12080666495
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",11306102880
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",10940340587
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",10623187260
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",9661068654
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",11968210053
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",12614534033
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",10717892394
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",11576948541
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",11208008683
"ITA","Italy",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",9729150382
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",3680707141000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",4270250691000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",3809831812000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",4744652610000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",5217506822000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",5213772272000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",4870528834000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",5271795732000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",5359953423000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",4993595562000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",5805580086000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",5894816281000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",4683718187000
"JPN","Japan",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",5515226554000
