"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,6742858000000,,
"JPN","Japan","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,6988064000000,,
"JPN","Japan","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,6733814000000,,
"JPN","Japan","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,6654195000000,,
"JPN","Japan","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,6231899000000,,
"JPN","Japan","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-02","Feb-2019","NATCUR","National currency","0","Units",,,6649630000000,,
"JPN","Japan","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,6898338000000,,
"JPN","Japan","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,7353044000000,,
"JPN","Japan","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,7149963000000,,
"JPN","Japan","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,6813917000000,,
"JPN","Japan","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,6524121000000,,
"JPN","Japan","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-02","Feb-2019","NATCUR","National currency","0","Units",,,6533498000000,,
"KOR","Korea","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,57703026989613,,
"KOR","Korea","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,59185317464229,,
"KOR","Korea","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,55569499916964,,
"KOR","Korea","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,53853239774148,,
"KOR","Korea","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,54128862621522,,
"KOR","Korea","703","International trade in goods - exports","201904","April 2019","M","Monthly","2019-02","Feb-2019","NATCUR","National currency","0","Units",,,48429959901004,,
"KOR","Korea","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,48269562317628,,
"KOR","Korea","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,52902059333076,,
"KOR","Korea","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-11","Nov-2018","NATCUR","National currency","0","Units",,,51468001679018,,
"KOR","Korea","702","International trade in goods - imports","201904","April 2019","M","Monthly","2018-12","Dec-2018","NATCUR","National currency","0","Units",,,48444672497098,,
"KOR","Korea","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-01","Jan-2019","NATCUR","National currency","0","Units",,,49052926692665,,
"KOR","Korea","702","International trade in goods - imports","201904","April 2019","M","Monthly","2019-02","Feb-2019","NATCUR","National currency","0","Units",,,44044450540228,,
"LUX","Luxembourg","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-09","Sep-2018","NATCUR","National currency","0","Units",,,1136000000,,
"LUX","Luxembourg","703","International trade in goods - exports","201904","April 2019","M","Monthly","2018-10","Oct-2018","NATCUR","National currency","0","Units",,,1106500000,,
