"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2019","2019","EUR","Euro","9","Billions",,,162.9,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2009","2009",,,"6","Millions",,,85490,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2010","2010",,,"6","Millions",,,74896,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2011","2011",,,"6","Millions",,,73041,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2012","2012",,,"6","Millions",,,80867,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2013","2013",,,"6","Millions",,,73460,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2014","2014",,,"6","Millions",,,73126,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2015","2015",,,"6","Millions",,,61711,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2016","2016",,,"6","Millions",,,55543,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2017","2017",,,"6","Millions",,,64418,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2018","2018",,,"6","Millions",,,64438,,
"AUT","Austria","CORPORATE_LENDING_FLOW","New business lending, total","2019","2019",,,"6","Millions",,,71311,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2009","2009","EUR","Euro","6","Millions",,,10054,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2010","2010","EUR","Euro","6","Millions",,,9414,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2011","2011","EUR","Euro","6","Millions",,,9476,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2012","2012","EUR","Euro","6","Millions",,,9347,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2013","2013","EUR","Euro","6","Millions",,,8884,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2014","2014","EUR","Euro","6","Millions",,,8237,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2015","2015","EUR","Euro","6","Millions",,,8116,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2016","2016","EUR","Euro","6","Millions",,,7499,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2017","2017","EUR","Euro","6","Millions",,,8304,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2018","2018","EUR","Euro","6","Millions",,,8182,,
"AUT","Austria","SME_LENDING_FLOW","New business lending, SMEs","2019","2019","EUR","Euro","6","Millions",,,8634,,
"AUT","Austria","NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","2009","2009","PC","Percentage","0","Units",,,11.76,,
